過敏性鼻炎,['allergic rhinitis'],"['耳鼻喉科', '家醫科']",['鼻'],"['打噴嚏', '眼睛癢', '耳朵癢', '鼻塞', '流鼻涕', '鼻涕倒流', '頭暈', '注意力無法集中', '黑眼圈']",https://health.udn.com/disease/sole/178
白內障,['cataract'],['眼科'],['眼'],"['視力不穩定', '視力模糊', '複視', '畏光', '夜間炫光', '物體明暗對比難分辨', '色調改變', '物體顏色變暗', '近視度數逐年大增', '伸手不見五指']",https://health.udn.com/disease/sole/288
青光眼,['Glaucoma'],['眼科'],['眼'],"['眼睛痛', '發紅', '同側頭痛', '噁心', '視力模糊', '視覺範圍縮小', '嘔吐']",https://health.udn.com/disease/sole/289
麥粒腫,['Hordeolum'],['眼科'],['眼'],"['眼屎多', '紅眼', '眼皮紅腫按了會痛']",https://health.udn.com/disease/sole/225
口瘡,"['Aphthous ulcer', 'Canker Sore']","['家醫科', '耳鼻喉科', '牙科', '風濕過敏免疫科']",['口腔'],"['唇破', '舌破', '頰內潰爛', '牙齦紅腫', '進食痛', '灼熱感', '口乾舌燥']",https://health.udn.com/disease/sole/191
口臭,['Halitosis'],"['家醫科', '牙科', '胃腸肝膽科']",['口腔'],"['嘴臭', '嘴苦', '口乾舌燥', '髮乾', '牙齦腫痛', '發燒', '舌苔', '腸胃脹氣', '消化不良', '胸悶', '便祕', '頻尿', '胃痛', '煩躁', '失眠', '疲倦']",https://health.udn.com/disease/sole/192
乾眼症,"['Xerophthalmia', 'Dry eye syndrome']",['眼科'],['眼'],"['視力模糊', '異物感', '敏感怕光', '想流淚', '眼睛易疲勞', '眼睛睜不開', '很想閉眼睛', '覺得眼壓高', '眼睛脹脹感', '頭痛', '眼睛紅']",https://health.udn.com/disease/sole/290
急性結膜炎,['acute conjunctivitis'],['眼科'],['眼'],"['流眼淚', '眼睛癢', '紅眼', '分泌物多', '畏光', '眼睛痛']",https://health.udn.com/disease/sole/291
視網膜剝離,['retinal detachment'],['眼科'],['眼'],"['視力模糊', '眼前出現黑點', '眼前異常閃光', '視野缺損']",https://health.udn.com/disease/sole/292
黃斑部病變,"['age-related macular degeneration', 'AMD']",['眼科'],['眼'],"['影像扭曲', '視力模糊']",https://health.udn.com/disease/sole/293
飛蚊症,"['Floater', 'Vitreous opacity']",['眼科'],['眼'],"['眼前出現黑點', '視力干擾', '偶有出現閃電的感覺']",https://health.udn.com/disease/sole/294
中耳炎,"['tympanitis', 'otitis media']",['耳鼻喉科'],['耳'],"['耳痛', '耳鳴', '鼻塞', '發燒', '聽力減退']",https://health.udn.com/disease/sole/61687
梅尼爾氏症,"[""Meniere's disease""]",['耳鼻喉科'],['耳'],"['耳塞', '眩暈', '耳鳴', '重聽', '噁心', '嘔吐']",https://health.udn.com/disease/sole/61688
鼻竇炎,['Sinusitis'],['耳鼻喉科'],['鼻'],"['頭痛', '鼻塞', '發燒', '流黃鼻涕', '咳嗽', '鼻涕倒流']",https://health.udn.com/disease/sole/61689
慢性鼻炎,['Chronic rhinitis'],['耳鼻喉科'],['鼻'],"['鼻塞', '耳悶塞感', '重聽', '流鼻涕', '打噴嚏']",https://health.udn.com/disease/sole/61691
鼻中膈彎曲,['Nasoseptal deviation'],['耳鼻喉科'],['鼻'],"['鼻塞', '流鼻血', '流鼻涕', '頭痛']",https://health.udn.com/disease/sole/61692
睡眠呼吸中止症,['Sleep Apnea'],"['耳鼻喉科', '神經科', '身心精神科', '呼吸胸腔科']",['鼻'],"['打呼', '打鼾', '嗜睡', '精神不濟']",https://health.udn.com/disease/sole/61693
